Date,Day Users,Day Repeat Users,Day New Users,Total Users,Bar chart,Repeat User Ids
2019-02-28,019,15,4,263,###############====,ALJY-9166+BXPG-4160+DDLG-3603+DOCR-2174+FAQZ-9635+HXMB-4945+MLVG-6486+OTOI-3400+PGCD-8131+QERW-8729+VKIL-1659+XJLZ-2616+XKIT-5112+XUQA-8239+ZKEI-0501,ALKS-6275+FUBR-8567+HMJV-0695+RYKM-4271
2019-03-01,014,11,3,266,###########===,BVUB-0093+BXPG-4160+CNGA-8978+DOCR-2174+FAQZ-9635+MLVG-6486+MOSI-0343+PGCD-8131+QERW-8729+UMKH-0211+ZKEI-0501,HMJA-4647+OUWC-5808+VXJP-3345
2019-03-02,006,5,1,267,#####=,FAQZ-9635+QERW-8729+RHBP-1081+UMKH-0211+XUQA-8239,NBTV-4116
2019-03-03,002,2,0,267,##,HXMB-4945+RHBP-1081,
2019-03-04,018,11,7,276,###########=======,BXPG-4160+CNGA-8978+FAQZ-9635+HXMB-4945+MLVG-6486+OSEC-9795+QERW-8729+RHBP-1081+TGRM-8751+VAGS-1143+ZEZA-2709,BFCQ-4440+BLQP-4268+DRCZ-2609+ECKX-7278+GNVJ-5524+NYOX-7912+ORBB-9359
2019-03-05,020,15,5,284,###############=====,AJNA-2390+BTMQ-2654+BXPG-4160+CNGA-8978+DOCR-2174+HCSS-0359+HXMB-4945+MLVG-6486+QERW-8729+QRWX-0346+RQVY-7399+UMKH-0211+WQXB-7118+XKIT-5112+ZEZA-2709,DTZR-1106+JHWQ-0922+KIWV-8081+LKCI-2958+SDML-4561
2019-03-06,018,13,5,290,#############=====,AJNA-2390+BTMQ-2654+BXPG-4160+FAQZ-9635+HXMB-4945+MLVG-6486+MNCV-9652+QRCS-6296+QRWX-0346+UMKH-0211+UTNP-6934+ZEZA-2709+ZKEI-0501,ADSS-5484+OTQX-9745+VOKB-4006+WBIW-7857+WOHF-3406
2019-03-07,021,15,6,301,###############======,AJNA-2390+BXPG-4160+CNGA-8978+DOCR-2174+EUYI-8198+FAQZ-9635+HWJX-3284+KVKU-1967+MJHD-4585+QERW-8729+VKIL-1659+WJTN-6863+XKIT-5112+YKPG-7274+ZEZA-2709,BWGC-8386+EPQC-1420+PRHO-9809+SRDA-5672+USLC-7887+XSEX-5426
2019-03-08,020,15,5,309,###############=====,AJNA-2390+BXPG-4160+CNGA-8978+DOCR-2174+FAQZ-9635+HCSS-0359+HWJX-3284+QERW-8729+RHBP-1081+SKIP-4590+TGRM-8751+VLMN-4235+XKIT-5112+YKPG-7274+YLSD-2450,KWHC-9070+QRYU-0806+SQSY-1340+VRMJ-9909+XSMN-2257
2019-03-09,009,7,2,311,#######==,DOCR-2174+ELEK-5479+FAQZ-9635+HWJX-3284+QERW-8729+RHBP-1081+VPWN-9823,QXGI-9302+YVSC-3684
2019-03-10,008,6,2,314,######==,DOCR-2174+GGYM-4287+HCSS-0359+QTML-9311+SKIP-4590+VPWN-9823,NINL-4798+ZIFR-5920
2019-03-11,020,14,6,323,##############======,BXPG-4160+CNGA-8978+DMTU-5007+DOCR-2174+FAQZ-9635+GGYM-4287+HXMB-4945+KVKU-1967+MLVG-6486+MOSI-0343+QVZH-8257+SKIP-4590+UBKO-0247+XUMQ-0668,ADXI-7499+AXSA-2770+JZHX-6710+LQBV-1912+PJPN-0218+ZWEF-5482
2019-03-12,017,13,4,328,#############====,BTMQ-2654+BXPG-4160+DOCR-2174+FAQZ-9635+GGYM-4287+HXMB-4945+LYZT-7818+QERW-8729+QTML-9311+RHBP-1081+UBKO-0247+UMKH-0211+ZHDF-4181,VTXW-1355+WLPB-7101+XYKE-4571+ZWAK-6331
2019-03-13,025,19,6,338,###################======,DMTU-5007+DOCR-2174+EASQ-4222+FAQZ-9635+JVFM-3371+KVKU-1967+MWJI-8012+PBHJ-9721+QERW-8729+QGSE-6556+RHBP-1081+RIOX-1467+SKIP-4590+UBKO-0247+UMKH-0211+VLMN-4235+XUQA-8239+YHYS-0594+ZHDF-4181,BKWN-0714+EPNF-7593+GCEZ-0126+IDTR-3893+NCKK-0316+PCJT-7025
2019-03-14,022,18,4,343,##################====,DMTU-5007+DOCR-2174+FAQZ-9635+KVKU-1967+MJHD-4585+MLVG-6486+MWJI-8012+NYFZ-4673+PBHJ-9721+QERW-8729+QGSE-6556+RIOX-1467+TGRM-8751+UMKH-0211+XUMQ-0668+YHYS-0594+ZHDF-4181+ZKEI-0501,IDKL-1371+PZQG-1812+QGLV-6785+ZEVT-3506
2019-03-15,017,12,5,348,############=====,DOCR-2174+FAQZ-9635+MLVG-6486+NYFZ-4673+OTOI-3400+PBHJ-9721+QERW-8729+RHBP-1081+RIOX-1467+TFJE-4954+UMKH-0211+YHYS-0594,BTSE-8047+DGWH-3106+FALU-7979+HRMT-2720+ZPUZ-1781
2019-03-16,012,9,3,351,#########===,DOCR-2174+EUYI-8198+FAQZ-9635+QERW-8729+QRWX-0346+RHBP-1081+UMKH-0211+VKIL-1659+YHYS-0594,AFHN-0179+DFGP-0873+QAVT-0975
2019-03-17,008,7,1,352,#######=,DOCR-2174+MLWU-2520+QERW-8729+QRCS-6296+RHBP-1081+RIOX-1467+YHYS-0594,ZKRK-3102
2019-03-18,014,14,0,354,##############,CNGA-8978+DOCR-2174+FAQZ-9635+LEEH-5847+OUAS-0091+QERW-8729+QTML-9311+QVZH-8257+RIOX-1467+RQVY-7399+WJTN-6863+WQIQ-3775+XKIT-5112+YLSD-2450,
2019-03-19,014,12,2,357,############==,BBJI-8086+DOCR-2174+FAQZ-9635+LEEH-5847+MLVG-6486+QERW-8729+RIOX-1467+WQIQ-3775+WQXB-7118+XKIT-5112+YLSD-2450+ZKEI-0501,SVNJ-9918+UWAV-3520
2019-03-20,010,9,1,358,#########=,BBJI-8086+DOCR-2174+MJHD-4585+MLWU-2520+MOSI-0343+QERW-8729+XKIT-5112+XUQA-8239+ZKEI-0501,JKYX-4487
Repeat clients,122,MLVG-6486+YQIY-2846+XNYI-7909+FAQZ-9635+VVQS-6353+VVKA-4702+XKIT-5112+DUKR-6322+BMWY-7330+SDGY-3727+CLLN-2975+GHRG-9006+GHZU-2989+VKSK-5523+UTNP-6934+BVUB-0093+XBGO-8810+BXPG-4160+FODY-2673+EZVD-9100+YMAG-5715+MZDE-6594+VPWN-9823+HYIT-8542+MGUF-2016+HVPO-7620+MNCV-9652+OPPT-1297+LYZT-7818+BWIE-1501+AJYT-3559+PBHJ-9721+ZFPL-1543+LUHO-0453+DPCU-5083+LMXX-1482+HNJO-5504+DOQS-6727+JXDZ-4888+FRVR-4426+EKTS-4951+UGZV-3950+NOZK-3836+EASQ-4222+WJSN-4420+RQVY-7399+ELEK-5479+ZKEI-0501+MGQK-0871+BPUW-1369+WQXB-7118+HNFU-2596+ECPV-4896+GBOG-7208+SWAG-6509+CNGA-8978+RHBP-1081+ALJY-9166+JHCU-0921+OTOI-3400+QVZH-8257+JZVP-7561+QTML-9311+QOYQ-2964+POHS-7433+ATBI-8760+MLWU-2520+ZPFR-6458+YBPU-7011+HLSR-7855+JHOK-7920+YSVY-7613+TFJE-4954+MJHD-4585+UMKH-0211+XJLZ-2616+XJWY-1918+JVAZ-7736+DALD-6076+QBDH-3741+NXTV-4647+DOCR-2174+AEEU-1524+DDLG-3603+HXMB-4945+QERW-8729+PGCD-8131+MOSI-0343+XUQA-8239+OSEC-9795+VAGS-1143+ZEZA-2709+QRWX-0346+BTMQ-2654+AJNA-2390+VKIL-1659+YKPG-7274+TGRM-8751+HWJX-3284+HCSS-0359+SKIP-4590+GGYM-4287+KVKU-1967+UBKO-0247+ZHDF-4181+DMTU-5007+VLMN-4235+JVFM-3371+RIOX-1467+MWJI-8012+XUMQ-0668+QGSE-6556+YHYS-0594+NYFZ-4673+EUYI-8198+QRCS-6296+OUAS-0091+WJTN-6863+YLSD-2450+WQIQ-3775+LEEH-5847+BBJI-8086
Prior clients,358,UKPR-0826+HLSR-7855+CVTN-9680+VBUX-0371+VVQS-6353+MLVG-6486+LXDA-2236+ZKCU-3436+YQIY-2846+JXBH-6097+GXGD-3697+FAQZ-9635+VVKA-4702+MGUF-2016+XNYI-7909+KYIP-3217+POHS-7433+XJJH-3627+AVDG-2569+UBNP-9195+BPCW-5819+WDNG-5390+YBMY-8296+OSEC-9795+PBHJ-9721+BDTW-8653+RSNG-1584+YKTW-7991+DUKR-6322+JHCU-0921+XKIT-5112+SUMC-2282+YMAG-5715+BMWY-7330+PDEV-4614+VKSK-5523+HIPH-6374+SBKL-3328+JFRP-7288+LKKH-3523+TLQR-1070+GHSC-5412+NAVL-0775+PHBW-5163+BWIE-1501+CLLN-2975+WJSN-4420+QOYQ-2964+SDGY-3727+EKTS-4951+YPXI-8697+UJGY-2229+XQGO-8003+ZZOT-2314+OEHA-3895+MNOX-1826+JEJV-1767+GHZU-2989+MWVD-7972+MOWQ-3263+GHRG-9006+NCUS-5363+FGAV-4786+MGAS-8511+VPWN-9823+QBHD-2281+UTNP-6934+FODY-2673+BVUB-0093+HVPO-7620+KEJO-2163+JVUA-4666+NIQI-1155+XBGO-8810+BXPG-4160+YSJX-2798+UVQP-9868+GKTJ-9130+CFNI-4363+DDLG-3603+RUUZ-1182+MSHN-8260+EZVD-9100+LUHO-0453+MZDE-6594+NOZK-3836+IHZS-1606+YKCM-0704+WQXB-7118+HYIT-8542+WQEC-9381+THGD-2893+ZFPL-1543+PZTP-2601+SFOC-2740+VZSS-1975+UMCM-1679+MNCV-9652+BOVB-6576+DPCU-5083+AJYT-3559+LYZT-7818+OPPT-1297+VXQB-9802+IJWX-4997+CKHN-0397+SDKK-4439+JXDZ-4888+TPRL-2474+GBOG-7208+ZKEI-0501+LMXX-1482+YTBR-8886+OPQN-8560+DOQS-6727+ECPV-4896+RNSO-8120+HNJO-5504+FRVR-4426+ORHC-2226+VGGE-4214+ELEK-5479+UGZV-3950+ESZY-2012+NAEH-2143+QOLK-3609+BPUW-1369+PZYU-3618+RQVY-7399+MXKE-6712+HKTG-5703+EASQ-4222+MGQK-0871+UYSB-4918+DALD-6076+SWAG-6509+DKLF-5015+YBPU-7011+DONG-2707+RFTH-1186+VAGS-1143+MURE-9520+WOFN-0089+ILDM-9706+ZJOX-6261+CNGA-8978+HNFU-2596+AQPL-0822+NPSO-1814+OOPY-8200+YUHP-0469+ALJY-9166+MLWU-2520+IQRH-8807+RHBP-1081+OTOI-3400+QBDH-3741+YDTK-2829+YZYF-0837+QVZH-8257+QQGB-4572+ZGYB-0632+GGFO-3720+HIRB-6291+ATBI-8760+QTML-9311+AAZN-4290+RYCW-7468+CXKK-4888+LZIK-9629+JVAZ-7736+FRXJ-3979+JEKK-3063+YSVY-7613+UTRU-2751+JZVP-7561+WFXE-7020+BTEG-9805+KVJC-4418+RGOA-9615+QRPK-6481+XQEK-6791+YSLB-0827+ZPFR-6458+PLJP-6164+JOMC-8616+VHRW-0220+NAXU-7001+LANJ-0702+XSKN-4301+MOSI-0343+PCNN-0842+BNGV-3514+QOFE-2098+RJAH-9735+JHOK-7920+CIUX-3207+BJCE-3098+ZFQP-7142+QPPL-4185+HAWL-3021+OQWC-9402+HDFL-3697+RCJG-4479+ZLUE-1865+ZEIF-0760+YEZE-1224+MJHD-4585+WETV-1838+NXTV-4647+TFJE-4954+PWXO-1157+XJLZ-2616+VYWD-9634+VCPM-7100+JDDQ-8850+JVNY-4154+IBBP-9175+UMKH-0211+FBCC-2303+TJSF-8516+MGDZ-7574+PQJS-7805+QUUW-0962+YTNI-0735+ZGMD-9080+XJWY-1918+CGLK-4948+XEMQ-4549+NYQG-0482+PMBY-7296+PUST-3722+QRWX-0346+RGUS-6438+OTPR-8531+AEEU-1524+OUAS-0091+LHNZ-0098+JMIX-7876+ZGKQ-0822+RDMJ-0612+FAPZ-1024+TNHV-8058+VZZA-8675+USSR-7557+DOCR-2174+XLCA-2988+DPNV-5939+TWDE-4788+MRHT-1787+JVFM-3371+WPZQ-5369+YTYZ-4735+YTOI-1279+QERW-8729+HXMB-4945+ALKS-6275+XUQA-8239+PGCD-8131+VKIL-1659+HMJV-0695+FUBR-8567+RYKM-4271+HMJA-4647+OUWC-5808+VXJP-3345+NBTV-4116+GNVJ-5524+BLQP-4268+ZEZA-2709+ECKX-7278+TGRM-8751+ORBB-9359+DRCZ-2609+BFCQ-4440+NYOX-7912+JHWQ-0922+LKCI-2958+DTZR-1106+HCSS-0359+KIWV-8081+BTMQ-2654+SDML-4561+AJNA-2390+WOHF-3406+WBIW-7857+VOKB-4006+OTQX-9745+QRCS-6296+ADSS-5484+HWJX-3284+PRHO-9809+BWGC-8386+EPQC-1420+KVKU-1967+USLC-7887+YKPG-7274+EUYI-8198+WJTN-6863+SRDA-5672+XSEX-5426+KWHC-9070+VLMN-4235+SQSY-1340+QRYU-0806+XSMN-2257+VRMJ-9909+YLSD-2450+SKIP-4590+YVSC-3684+QXGI-9302+NINL-4798+GGYM-4287+ZIFR-5920+XUMQ-0668+JZHX-6710+ZWEF-5482+ADXI-7499+AXSA-2770+UBKO-0247+DMTU-5007+LQBV-1912+PJPN-0218+XYKE-4571+ZHDF-4181+WLPB-7101+ZWAK-6331+VTXW-1355+RIOX-1467+EPNF-7593+GCEZ-0126+QGSE-6556+BKWN-0714+PCJT-7025+YHYS-0594+NCKK-0316+MWJI-8012+IDTR-3893+ZEVT-3506+PZQG-1812+NYFZ-4673+IDKL-1371+QGLV-6785+BTSE-8047+DGWH-3106+HRMT-2720+ZPUZ-1781+FALU-7979+AFHN-0179+QAVT-0975+DFGP-0873+ZKRK-3102+LEEH-5847+WQIQ-3775+BBJI-8086+SVNJ-9918+UWAV-3520+JKYX-4487
